name,state,city,category,rating,entry_fee,visit_duration,best_time,id,image_url,latitude,longitude,activities,hidden_gems,nearest_airport,nearest_railway,cuisine,safety_rating,search_tags
Garden of Five Senses,Delhi,Delhi,Park,4.1,35.0,2.0,Morning,of_five_senses_delhi_delhi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/32/8b/e9/nipunsagarofficial-5.jpg?w=1200&h=-1&s=1,,,,,,,,8.0,"['delhi', 'garden of five senses', 'morning', 'park']"
Lodhi Garden,Delhi,Delhi,Park,4.5,0.0,1.0,All,lodhi__delhi_delhi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/14/cf/80/lodi-gardens.jpg?w=1200&h=1200&s=1,,,,,,,,8.0,"['all', 'delhi', 'lodhi garden', 'park']"
National Gallery of Modern Art,Delhi,Delhi,Museum,4.5,20.0,3.0,All,gallery_of_modern_art_delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/3/31/Jaipur_House_Delhi.jpg,,,,,,,,8.0,"['all', 'delhi', 'museum', 'national gallery of modern art']"
National Zoological Park ,Delhi,Delhi,Zoo,4.1,80.0,3.0,All,zoological__delhi_delhi,https://placehold.co/800x600/png?text=Voyara,,,,,,,,8.0,"['all', 'delhi', 'national zoological park', 'zoo']"
Qutub Minar,Delhi,Delhi,Monument,4.5,35.0,1.0,Afternoon,qutub_minar_delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Qutb_Minar_2011.jpg/200px-Qutb_Minar_2011.jpg,28.529206,77.183741,,,,,,8.0,"['afternoon', 'delhi', 'monument', 'qutub minar']"
National Science Centre,Delhi,Delhi,Science,4.4,70.0,5.0,All,science_centre_delhi_delhi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a7/60/38/nice-experience.jpg?w=1200&h=1200&s=1,,,,,,,,8.0,"['all', 'delhi', 'national science centre', 'science']"
Marine Drive,Maharastra,Mumbai,Promenade,4.5,0.0,2.0,Evening,marine_drive_mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Marine_Drive_Skyline.jpg/800px-Marine_Drive_Skyline.jpg,18.942602,72.825784,,,,,,8.0,"['evening', 'maharastra', 'marine drive', 'mumbai', 'promenade']"
Gateway of India,Maharastra,Mumbai,Monument,4.6,0.0,1.0,All,gateway_of_india_mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg/800px-Mumbai_03-2016_30_Gateway_of_India.jpg,18.925633,72.830925,,,,,,8.0,"['all', 'gateway of india', 'maharastra', 'monument', 'mumbai']"
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharastra,Mumbai,Museum,4.6,500.0,1.0,All,chhatrapati_shivaji_maharaj_vastu_sangrahalaya_mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/7/79/Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya.jpg,,,,,,,,8.0,"['all', 'chhatrapati shivaji maharaj vastu sangrahalaya', 'maharastra', 'mumbai', 'museum']"
Sanjay Gandhi National Park,Maharastra,Mumbai,National Park,4.3,50.0,3.0,All,sanjay_gandhi__mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Entrance_of_Sanjay_Gandhi_National_Park.JPG/284px-Entrance_of_Sanjay_Gandhi_National_Park.JPG,,,,,,,,8.0,"['all', 'maharastra', 'mumbai', 'national park', 'sanjay gandhi national park']"
Siddhivinayak Temple,Maharastra,Mumbai,Temple,4.8,0.0,2.0,All,siddhivinayak__mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,19.012271,72.831294,,,,,,8.0,"['all', 'maharastra', 'mumbai', 'siddhivinayak temple', 'temple']"
Mahalaxmi Temple,Maharastra,Mumbai,Temple,4.7,0.0,1.0,All,mahalaxmi__mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg,,,,,,,,8.0,"['all', 'mahalaxmi temple', 'maharastra', 'mumbai', 'temple']"
Haji Ali Dargah,Maharastra,Mumbai,Religious Shrine,4.4,0.0,2.0,All,haji_ali_dargah_mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/c/ca/Mumbai_03-2016_12_Haji_Ali_Dargah.jpg,,,,,,,,8.0,"['all', 'haji ali dargah', 'maharastra', 'mumbai', 'religious shrine']"
Chowpatty Beach,Maharastra,Mumbai,Beach,4.3,0.0,2.0,Evening,chowpatty__mumbai_maharastra,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/18/a0/dc.jpg,,,,,,,,8.0,"['beach', 'chowpatty beach', 'evening', 'maharastra', 'mumbai']"
Essel World,Maharastra,Mumbai,Amusement Park,4.3,1149.0,5.0,All,essel_world_mumbai_maharastra,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Thunder%2C_Esselworld.jpg/1200px-Thunder%2C_Esselworld.jpg,,,,,,,,8.0,"['all', 'amusement park', 'essel world', 'maharastra', 'mumbai']"
Elephanta Caves,Maharastra,Mumbai,Monument,4.3,550.0,4.0,All ,elephanta_caves_mumbai_maharastra,https://whc.unesco.org/uploads/thumbs/site_0244_0004-750-750-20100705114254.jpg,18.96082,72.934038,,,,,,8.0,"['all', 'elephanta caves', 'maharastra', 'monument', 'mumbai']"
Imagicaa,Maharastra,Lonavala,Amusement Park,1.4,1149.0,5.0,All,imagicaa_lonavala_maharastra,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Adlabs_Imagica_2013_%2810364145606%29.jpg/1200px-Adlabs_Imagica_2013_%2810364145606%29.jpg,,,,,,,,8.0,"['all', 'amusement park', 'imagicaa', 'lonavala', 'maharastra']"
Bangalore Palace,Karnataka,Bangalore,Palace,4.2,500.0,2.0,Morning,bangalore__bangalore_karnataka,https://upload.wikimedia.org/wikipedia/commons/8/8f/Bangalore_Mysore_Maharaja_Palace.jpg,,,,,,,,8.0,"['bangalore', 'bangalore palace', 'karnataka', 'morning', 'palace']"
Lalbagh Botanical Garden,Karnataka,Bangalore,Botanical Garden,4.4,20.0,1.5,Evening,lalbagh_botanical__bangalore_karnataka,https://upload.wikimedia.org/wikipedia/commons/d/d5/Glasshouse_and_fountain_at_lalbagh.jpg,,,,,,,,8.0,"['bangalore', 'botanical garden', 'evening', 'karnataka', 'lalbagh botanical garden']"
Cubbon Park,Karnataka,Bangalore,Park,4.4,0.0,1.0,Morning,cubbon__bangalore_karnataka,https://travelsetu.com/apps/uploads/new_destinations_photos/destination/2023/12/22/b22be5abb14d39eb918bf2f3e91af4de_1000x1000.jpg,,,,,,,,8.0,"['bangalore', 'cubbon park', 'karnataka', 'morning', 'park']"
Vidhana Soudha,Karnataka,Bangalore,Government Building,4.6,0.0,0.5,Morning,vidhana_soudha_bangalore_karnataka,https://upload.wikimedia.org/wikipedia/commons/1/11/Vidhana_Soudha%2C_14_February_2022_-_cropped.jpg,,,,,,,,8.0,"['bangalore', 'government building', 'karnataka', 'morning', 'vidhana soudha']"
ISKCON Temple Bangalore,Karnataka,Bangalore,Temple,4.6,0.0,1.0,Evening,iskcon_bangalore_bangalore_karnataka,https://upload.wikimedia.org/wikipedia/commons/1/11/ISKCON_Banglaore_Temple.jpg,,,,,,,,8.0,"['bangalore', 'evening', 'iskcon temple bangalore', 'karnataka', 'temple']"
Charminar,Telangana,Hyderabad,Landmark,4.5,25.0,1.0,Morning,charminar_hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Charminar_Hyderabad_1.jpg/800px-Charminar_Hyderabad_1.jpg,17.360744,78.472798,,,,,,8.0,"['charminar', 'hyderabad', 'landmark', 'morning', 'telangana']"
Golconda Fort,Telangana,Hyderabad,Fort,4.4,30.0,2.0,Morning,golconda__hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/5/56/Golconda_Fort_005.jpg,17.378498999999998,78.405322,,,,,,8.0,"['fort', 'golconda fort', 'hyderabad', 'morning', 'telangana']"
Hussain Sagar Lake,Telangana,Hyderabad,Lake,4.3,0.0,1.0,Evening,hussain_sagar__hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Buddha_statue_11102016.jpg/270px-Buddha_statue_11102016.jpg,17.427042,78.471896,,,,,,8.0,"['evening', 'hussain sagar lake', 'hyderabad', 'lake', 'telangana']"
Ramoji Film City,Telangana,Hyderabad,Film Studio,4.4,1150.0,4.0,All,ramoji_film_city_hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ramoji_Film_City.jpg/800px-Ramoji_Film_City.jpg,17.254139000000002,78.679795,,,,,,8.0,"['all', 'film studio', 'hyderabad', 'ramoji film city', 'telangana']"
Salar Jung Museum,Telangana,Hyderabad,Museum,4.4,20.0,2.0,All,salar_jung__hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg/800px-Salar_Jung_Museum%2C_Hyderabad%2C_India.jpg,17.372368,78.48259300000001,,,,,,8.0,"['all', 'hyderabad', 'museum', 'salar jung museum', 'telangana']"
Qutb Shahi Tombs,Telangana,Hyderabad,Tombs,4.4,25.0,1.0,Morning,qutb_shahi_tombs_hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/0/08/Qutb_Shahi_Tomb_5.jpg,,,,,,,,8.0,"['hyderabad', 'morning', 'qutb shahi tombs', 'telangana', 'tombs']"
Birla Mandir,Telangana,Hyderabad,Temple,4.7,0.0,1.0,All,birla_mandir_hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/3/3c/Birla_Mandir%2C_Hyderabad.png,17.410318999999998,78.47276099999999,,,,,,8.0,"['all', 'birla mandir', 'hyderabad', 'telangana', 'temple']"
Chowmahalla Palace,Telangana,Hyderabad,Palace,4.4,80.0,1.5,Morning,chowmahalla__hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Chowmahalla_Palace_01.jpg/800px-Chowmahalla_Palace_01.jpg,,,,,,,,8.0,"['chowmahalla palace', 'hyderabad', 'morning', 'palace', 'telangana']"
Nehru Zoological Park,Telangana,Hyderabad,Zoo,4.2,50.0,3.0,Morning,nehru_zoological__hyderabad_telangana,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/51/16/34/nehru-zoological-park.jpg?w=1200&h=-1&s=1,,,,,,,,8.0,"['hyderabad', 'morning', 'nehru zoological park', 'telangana', 'zoo']"
Lumbini Park,Telangana,Hyderabad,Park,4.1,20.0,1.0,Evening,lumbini__hyderabad_telangana,https://upload.wikimedia.org/wikipedia/commons/c/c2/Lumbini_Park%2C_Hyderabad.jpg,,,,,,,,8.0,"['evening', 'hyderabad', 'lumbini park', 'park', 'telangana']"
Victoria Memorial,West Bengal,Kolkata,Museum,4.6,30.0,1.5,Morning,victoria__kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/7/72/Victoria_Memorial_situated_in_Kolkata.jpg,22.547106,88.342383,,,,,,8.0,"['kolkata', 'morning', 'museum', 'victoria memorial', 'west bengal']"
Howrah Bridge,West Bengal,Kolkata,Bridge,4.6,0.0,0.5,Anytime,howrah_bridge_kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Howrah_bridge_at_night.jpg/1200px-Howrah_bridge_at_night.jpg,22.581638,88.34674,,,,,,8.0,"['anytime', 'bridge', 'howrah bridge', 'kolkata', 'west bengal']"
Indian Museum,West Bengal,Kolkata,Museum,4.6,50.0,2.0,Morning,indian__kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/8/8c/Indian_Museum%2C_Courtyard%2C_Kolkata%2C_India.jpg,22.55751,88.347181,,,,,,8.0,"['indian museum', 'kolkata', 'morning', 'museum', 'west bengal']"
Dakshineswar Kali Temple,West Bengal,Kolkata,Temple,4.7,0.0,1.0,Morning,dakshineswar_kali__kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/800px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG,22.652717000000003,88.357951,,,,,,8.0,"['dakshineswar kali temple', 'kolkata', 'morning', 'temple', 'west bengal']"
Kalighat Kali Temple,West Bengal,Kolkata,Temple,4.4,0.0,1.0,Morning,kalighat_kali__kolkata_west_bengal,https://www.templepurohit.com/wp-content/uploads/2015/01/Kalighat-Kali-Temple-Kolkata.jpg,,,,,,,,8.0,"['kalighat kali temple', 'kolkata', 'morning', 'temple', 'west bengal']"
Eden Gardens,West Bengal,Kolkata,Cricket Ground,4.1,2500.0,3.0,All,eden_s_kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/7/73/%E0%A6%87%E0%A6%A1%E0%A7%87%E0%A6%A8_%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8%E0%A7%87_%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%93_%E0%A6%AA%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%BE_%E0%A7%AB.jpg,,,,,,,,8.0,"['all', 'cricket ground', 'eden gardens', 'kolkata', 'west bengal']"
Alipore Zoological Gardens,West Bengal,Kolkata,Zoo,4.3,25.0,2.0,Afternoon,alipore_zoological_s_kolkata_west_bengal,https://www.getbengal.com/uploads/story_image/Alipore-Zoo-Born.jpg,,,,,,,,8.0,"['afternoon', 'alipore zoological gardens', 'kolkata', 'west bengal', 'zoo']"
Science City Kolkata,West Bengal,Kolkata,Science,4.4,60.0,3.0,All,science_city_kolkata_kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/0/03/Science_City_Kolkata_4643.JPG,,,,,,,,8.0,"['all', 'kolkata', 'science', 'science city kolkata', 'west bengal']"
Belur Math,West Bengal,Kolkata,Site,4.7,0.0,1.5,Morning,belur_math_kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Belur_Math%2C_Howrah.jpg/1200px-Belur_Math%2C_Howrah.jpg,,,,,,,,8.0,"['belur math', 'kolkata', 'morning', 'site', 'west bengal']"
Marble Palace,West Bengal,Kolkata,Palace,4.4,0.0,1.0,Afternoon,marble__kolkata_west_bengal,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Marble_Palace-_Kolkata-_West_Bengal-_DSC_0006.jpg/1200px-Marble_Palace-_Kolkata-_West_Bengal-_DSC_0006.jpg,,,,,,,,8.0,"['afternoon', 'kolkata', 'marble palace', 'palace', 'west bengal']"
Calangute Beach,Goa,Goa,Beach,4.4,0.0,2.0,Evening,calangute__goa_goa,https://s7ap1.scene7.com/is/image/incredibleindia/calangute-beach-goa-7-musthead-hero?qlt=82&ts=1726735078814,,,,,,,,8.0,"['beach', 'calangute beach', 'evening', 'goa']"
Basilica of Bom Jesus,Goa,Goa,Church,4.5,0.0,1.0,Afternoon,basilica_of_bom_jesus_goa_goa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Basilica_of_bom_jesus_-_Front_View.jpg/1200px-Basilica_of_bom_jesus_-_Front_View.jpg,,,,,,,,8.0,"['afternoon', 'basilica of bom jesus', 'church', 'goa']"
Fort Aguada,Goa,Goa,Fort,4.2,0.0,1.5,Morning,aguada_goa_goa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/30/bd/4c/photo2jpg.jpg?w=1200&h=-1&s=1,,,,,,,,8.0,"['fort', 'fort aguada', 'goa', 'morning']"
Dudhsagar Falls,Goa,Goa,Waterfall,4.6,500.0,3.0,Afternoon,dudhsagar__goa_goa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Doodhsagar_Fall.jpg/1200px-Doodhsagar_Fall.jpg,,,,,,,,8.0,"['afternoon', 'dudhsagar falls', 'goa', 'waterfall']"
Anjuna Beach,Goa,Goa,Beach,4.4,0.0,2.0,Evening,anjuna__goa_goa,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg/640px-Anjuna_Beach%2C_Goa%2C_India%2C_Legendary_Curlies_beach_shack.jpg,,,,,,,,8.0,"['anjuna beach', 'beach', 'evening', 'goa']"
Chapora Fort,Goa,Goa,Fort,4.2,0.0,1.0,Evening,chapora__goa_goa,https://upload.wikimedia.org/wikipedia/commons/3/35/Fort_Chapora_26012016.jpg,,,,,,,,8.0,"['chapora fort', 'evening', 'fort', 'goa']"
Se Cathedral,Goa,Goa,Church,4.5,0.0,1.0,Afternoon,se_ca_dral_goa_goa,https://upload.wikimedia.org/wikipedia/commons/7/72/Se%E2%80%99_Cathedral%2C_Goa.jpg,,,,,,,,8.0,"['afternoon', 'church', 'goa', 'se cathedral']"
Baga Beach,Goa,Goa,Beach,4.5,0.0,2.0,Evening,baga__goa_goa,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3e/36/95/baga-sea-beach.jpg?w=1200&h=-1&s=1,,,,,,,,8.0,"['baga beach', 'beach', 'evening', 'goa']"
Arambol Beach,Goa,Goa,Beach,4.6,0.0,2.0,Evening,arambol__goa_goa,https://upload.wikimedia.org/wikipedia/commons/a/ab/Arambol_2022-01-04-2.jpg,,,,,,,,8.0,"['arambol beach', 'beach', 'evening', 'goa']"
Palolem Beach,Goa,Goa,Beach,4.6,0.0,2.0,Evening,palolem__goa_goa,https://upload.wikimedia.org/wikipedia/commons/9/9c/Palolem_Beach%2C_South_Goa.jpg,,,,,,,,8.0,"['beach', 'evening', 'goa', 'palolem beach']"
Colva Beach,Goa,Goa,Beach,4.3,0.0,2.0,Evening,colva__goa_goa,https://upload.wikimedia.org/wikipedia/commons/0/06/Colv%C3%A1_beach.jpg,,,,,,,,8.0,"['beach', 'colva beach', 'evening', 'goa']"
Miramar Beach,Goa,Goa,Beach,4.2,0.0,1.5,Evening,miramar__goa_goa,https://www.beachblueproperties.com/wp-content/uploads/2024/03/miramar_beach_shutterstock-1350x900.jpg,,,,,,,,8.0,"['beach', 'evening', 'goa', 'miramar beach']"
Dr. Salim Ali Bird Santuary,Goa,Goa,Bird Sanctuary,3.9,10.0,2.0,Afternoon,dr_salim_ali_bird_santuary_goa_goa,https://placehold.co/800x600/png?text=Voyara,,,,,,,,8.0,"['afternoon', 'bird sanctuary', 'dr. salim ali bird santuary', 'goa']"
Sabarmati Ashram,Gujarat,Ahmedabad,Historical,4.6,0.0,1.5,Morning,sabarmati_ashram_ahmedabad_gujarat,https://upload.wikimedia.org/wikipedia/commons/9/9a/GANDHI_ASHRAM_03.jpg,,,,,,,,8.0,"['ahmedabad', 'gujarat', 'historical', 'morning', 'sabarmati ashram']"
Dwarkadhish Temple,Gujarat,Dwarka,Temple,4.7,0.0,2.0,Evening,dwarkadhish__dwarka_gujarat,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg,,,,,,,,8.0,"['dwarka', 'dwarkadhish temple', 'evening', 'gujarat', 'temple']"
Gir National Park,Gujarat,Junagadh,National Park,4.5,3500.0,3.0,Morning,gir__junagadh_gujarat,https://upload.wikimedia.org/wikipedia/commons/9/90/Gir_lion-Gir_forest%2Cjunagadh%2Cgujarat%2Cindia.jpeg,,,,,,,,8.0,"['gir national park', 'gujarat', 'junagadh', 'morning', 'national park']"
White Desert,Gujarat,Bhuj,Site,4.6,0.0,2.5,Evening,white_desert_bhuj_gujarat,https://upload.wikimedia.org/wikipedia/commons/4/4a/Al_Farafrah%2C_New_Valley_Governorate%2C_Egypt_-_panoramio_%2821%29.jpg,,,,,,,,8.0,"['bhuj', 'evening', 'gujarat', 'site', 'white desert']"
Laxmi Vilas Palace,Gujarat,Vadodara,Palace,4.4,200.0,2.0,Afternoon,laxmi_vilas__vadodara_gujarat,https://upload.wikimedia.org/wikipedia/commons/b/bd/LakshmiVilas_Palace.jpg,,,,,,,,8.0,"['afternoon', 'gujarat', 'laxmi vilas palace', 'palace', 'vadodara']"
Somnath Temple,Gujarat,Somnath,Temple,4.8,0.0,2.0,Morning,somnath__somnath_gujarat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,,,,,,,,8.0,"['gujarat', 'morning', 'somnath', 'somnath temple', 'temple']"
Rann Utsav,Gujarat,Rann of Kutch,Cultural,4.9,7500.0,3.0,Evening,rann_utsav_rann_of_kutch_gujarat,https://www.rannutsav.com/blog/wp-content/uploads/2024/12/141013682_715635635803639_4674705074199093637_n-1.png,,,,,,,,8.0,"['cultural', 'evening', 'gujarat', 'rann of kutch', 'rann utsav']"
Statue of Unity,Gujarat,Kevadia,Monument,4.6,350.0,3.0,All,statue_of_unity_kevadia_gujarat,https://upload.wikimedia.org/wikipedia/commons/0/07/Statue_of_Unity.jpg,,,,,,,,8.0,"['all', 'gujarat', 'kevadia', 'monument', 'statue of unity']"
Dandi Kutir,Gujarat,Gandhinagar,Museum,4.5,0.0,1.5,All,dandi_kutir_gandhinagar_gujarat,https://dandi-kutir.com/wp-content/uploads/2023/07/Picture2.jpg,,,,,,,,8.0,"['all', 'dandi kutir', 'gandhinagar', 'gujarat', 'museum']"
Sabarmati Riverfront,Gujarat,Ahmedabad,Urban Development Project,4.6,0.0,1.0,Evening,sabarmati_front_ahmedabad_gujarat,https://upload.wikimedia.org/wikipedia/commons/d/d0/Sabarmati_1_Madhur.jpg,,,,,,,,8.0,"['ahmedabad', 'evening', 'gujarat', 'sabarmati riverfront', 'urban development project']"
Manek Chowk,Gujarat,Ahmedabad,Market,4.4,0.0,2.0,Night,manek_chowk_ahmedabad_gujarat,https://upload.wikimedia.org/wikipedia/commons/9/9f/Manekchok.jpg,,,,,,,,8.0,"['ahmedabad', 'gujarat', 'manek chowk', 'market', 'night']"
Kankaria Lake,Gujarat,Ahmedabad,Lake,4.5,10.0,3.0,Afternoon,kankaria__ahmedabad_gujarat,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Kankaria_Carnival_2_Ahmedabad.JPG/1200px-Kankaria_Carnival_2_Ahmedabad.JPG,,,,,,,,8.0,"['afternoon', 'ahmedabad', 'gujarat', 'kankaria lake', 'lake']"
Science City,Gujarat,Ahmedabad,Science,4.4,500.0,7.0,All,science_city_ahmedabad_gujarat,https://assets.simpleviewinc.com/simpleview/image/upload/crm/overlandpark/15800061_1200678019970162_2078686735126305890_o0-e9440f315056a36_e944123e-5056-a36a-09c5cf0c57ceea63.jpg,22.539187,88.396411,,,,,,8.0,"['ahmedabad', 'all', 'gujarat', 'science', 'science city']"
Hawa Mahal,Rajasthan,Jaipur,Palace,4.4,50.0,1.0,Morning,hawa_mahal_jaipur_rajasthan,https://upload.wikimedia.org/wikipedia/commons/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg,26.925533,75.82884200000001,,,,,,8.0,"['hawa mahal', 'jaipur', 'morning', 'palace', 'rajasthan']"
City Palace,Rajasthan,Udaipur,Palace,4.4,300.0,2.0,All,city__udaipur_rajasthan,https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg,26.930505,75.82547100000001,,,,,,8.0,"['all', 'city palace', 'palace', 'rajasthan', 'udaipur']"
